Critical,9/20/2018 10:18:44,9/20/18 10:21,0:02:56,BLRBID-MCN-O-I614-01,Service-affecting,ETH10G-3-6-10,Remote Fault,REM_FLT,No,No,Communication,Remote Fault,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Minor,9/20/2018 10:18:44,9/20/18 10:18,0:00:00,BLRJYN-MCM-O-I614-01,Non service-affecting,DOC-3-2,DOC Action: Channel Delete In Progress,CHDEL_IP,No,No,Processing,DOC Channel Delete In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:18:45,9/20/18 10:18,0:00:02,BLRJYN-MCM-O-I614-01,Non service-affecting,DOC-1-1,DOC Action: Channel Delete In Progress,CHDEL_IP,No,No,Processing,DOC Channel Delete In Progress,SP-2 | Dual CPU,No
Critical,9/20/2018 10:18:48,9/20/18 10:18,0:00:00,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-3-10-5,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,No
Critical,9/20/2018 10:18:48,9/20/18 10:20,0:01:35,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-2-1-23,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,CCMD12 | C-Band,No
Critical,9/20/2018 10:18:48,9/20/18 10:20,0:01:36,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-2-1-19,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,CCMD12 | C-Band,No
Major,9/20/2018 10:18:48,9/20/18 10:18,0:00:00,BLRBID-MCN-O-I614-01,Service-affecting,AMP-2-1-26,Shutoff Threshold Crossed,STC_OTS,No,No,Communication,Signal Fail,CCMD12 | C-Band,No
Critical,9/20/2018 10:18:48,9/20/18 10:19,0:00:35,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-2-11-5,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,No
Critical,9/20/2018 10:18:48,9/20/18 10:19,0:00:45,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-2-1-21,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,CCMD12 | C-Band,No
Critical,9/20/2018 10:18:48,9/20/18 10:18,0:00:00,BLRBID-MCN-O-I614-01,Service-affecting,OPTMON-1-11-5,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,WSS Flex | C-Band w/OPM | 9x1,No
