Severity,Raise time ( GMT ),System type,System name,Component,Description,Acknowledged,Annotation,Additional text,Alarm type,Probable cause,Equipment type,Clear time ( GMT ),Cleared by,CLFI,Supression Flag
MINOR,28-10-2018 18:58,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 18:59,,,No
MINOR,28-10-2018 18:58,OME6500,NDANNM-MCD-O-I614-01,OSRPLINE0-1-114,UNREACHABLERN,No,No,Remote Node Unreachable,PROCESSING,Connection Establishment Error,,28-10-2018 18:59,,,No
MAJOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,OTM4-2-7-1,RX_CH_PWR_OOR,No,No,Rx Channel Power Out Of Range,EQUIPMENT,Receive Power Range Exceeded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:58,,VNG-SH3S5-SH1S1P21-22-DME-SH2S7-SH1S1P23-24-REV-MR-SNC-WORK,No
CRITICAL,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,OTM4-3-5-1,RTCLK,No,No,Loss Of Clock,TIMING,Real Time Clock Failure,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:58,,VNG-SH3S5-SH1S1P21-22-DME-SH2S7-SH1S1P23-24-REV-MR-SNC-WORK,No
MAJOR,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,OTM4-3-5-1,RX_CH_PWR_OOR,No,No,Rx Channel Power Out Of Range,EQUIPMENT,Receive Power Range Exceeded,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:58,,VNG-SH3S5-SH1S1P21-22-DME-SH2S7-SH1S1P23-24-REV-MR-SNC-WORK,No
MINOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,OTM4-2-7-1,BDI_ODU,No,No,ODU BDI,COMMUNICATION,Backward Defect Indication,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:58,,VNG-SH3S5-SH1S1P21-22-DME-SH2S7-SH1S1P23-24-REV-MR-SNC-WORK,No
MINOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,OTM4-2-7-1,BDI_OTU,No,No,OTU BDI,COMMUNICATION,Backward Defect Indication,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:58,,VNG-SH3S5-SH1S1P21-22-DME-SH2S7-SH1S1P23-24-REV-MR-SNC-WORK,No
MINOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,AMP-1-13-6,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,MLA3 | C-Band,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-14-6,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,ESAM | C-Band w/OSC | 1xSFP,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,OPTMON-3-11-21,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,OPTMON-3-14-8,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,ESAM | C-Band w/OSC | 1xSFP,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,AMP-3-13-8,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,MLA3 | C-Band,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-11-21,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,WSS Flex | C-Band w/OPM | 9x1,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,AMP-1-13-8,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,MLA3 | C-Band,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRDME-MCM-O-I614-01,OPTMON-1-14-8,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,ESAM | C-Band w/OSC | 1xSFP,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,OPTMON-3-14-6,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,ESAM | C-Band w/OSC | 1xSFP,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,AMP-3-13-6,T_TSUM_OTS,No,No,Gauge Threshold Crossing Alert Summary,PERFORMANCE,Threshold Crossed,MLA3 | C-Band,28-10-2018 18:58,,,No
CRITICAL,28-10-2018 18:58,OME6500,BLRVNG-MCN-O-I614-01,OTM4-3-5-1,LOCH,No,No,Loss Of Channel,COMMUNICATION,Signal Fail,100G MOTR | WL3n Extnd C-Band | 10xSFP+,28-10-2018 18:58,,VNG-SH3S5-SH1S1P21-22-DME-SH2S7-SH1S1P23-24-REV-MR-SNC-WORK,No
MINOR,28-10-2018 18:57,OME6500,BLRDME-MCM-O-I614-01,DOC-1-2,CHADD_IP,No,No,DOC Action: Channel Add In Progress,PROCESSING,DOC Channel Add In Progress,SP-2 | Dual CPU,28-10-2018 18:58,,,No
MINOR,28-10-2018 18:57,OME6500,BLRVNG-MCN-O-I614-01,DOC-3-1,CHADD_IP,No,No,DOC Action: Channel Add In Progress,PROCESSING,DOC Channel Add In Progress,SP-2 | Dual CPU,28-10-2018 18:58,,,No
